TNA reference	Context: subseries title	Context: sub subseries title	scope_content	date_text	first_date	last_date	former_reference_department	note_text	closure_status	closure_type	closure_code	piece_id	cat_level
fo 881/1626			UNITED STATES: Memo. Understanding about Presentation of Claims, during Negotiation of Peace with United States during 1814 (Mr. Lewis Hertslet) 	Mar 21 1843	18430321	18430321		Bound: Mema.	O	N	30	4534455	6
fo 881/1627			TURKEY: Memo. Island of Samos. (Mr. E. Hertslet) 	31, 1866	18660101	18661231		Bound: Mema.	O	N	30	4533242	6
fo 881/1628			GENERAL: Memo. Necessity for European Congress to sanction alterations in Territorial Arrangements of Europe, as settled by Vienna Treaties of 1815. (Mr. E. Hertslet) 	July 1859	18590701	18590731		Bound: Mema.	O	N	30	4528750	6
fo 881/1629			GENERAL: Memo. Analysis of Report of Neutrality Laws Commission. (Mr. C. S. A. Abbott) 	June 2, 1868	18680602	18680602		Bound: Mema.	O	N	30	4528816	6
fo 881/1630			"CHINA: Report. Visit to Island of Hainan, by Consul R. Swinhoe, in H.M.S. ""Algerine"" "	June 13, 1868	18680613	18680613		Bound: China 1.	O	N	30	4526359	6
fo 881/1631			CHINA: Corres. Relations of Great Britain and China 	Dec. 1868 to Jan. 1869	18681201	18690131		Bound: China 6.	O	N	30	4526366	6
fo 881/1632			UNITED STATES: Acts of Congress. Extradition 	1848-1860	18480101	18601231		Bound: America 55.	O	N	30	4534524	6
fo 881/1633			FRANCE: Corres. Marriages in France between British and French Subjects 	Aug. 1858	18580801	18580831		Bound: France 74.	O	N	30	4528082	6
fo 881/1634			TURKEY: Further Corres. Disturbances in Crete. (Continuation of No. 1581) 	April to Dec. 1868	18680401	18681231		Bound: Turkey 24.	O	N	30	4533254	6
fo 881/1635			GREECE &amp; TURKEY: Corres. Rupture of Diplomatic Relations between Turkey and Greece 	1868-1869	18680101	18691231		Bound: Turkey 24.	O	N	30	4530196	6
fo 881/1636			"UNITED STATES: Corres. ""Alabama,"" British Claims, Naturalization, and San Juan Water Boundary. Negotiations "	1868-1869	18680101	18691231		Bound: America 16.	O	N	30	4534654	6
fo 881/1637			GERMANY: Arrangement. Federative Constitution of Germany 	June 8, 1815	18150608	18150608		Bound: Germany 7.	O	N	30	4529925	6
fo 881/1638			GERMANY: Final Act. Organization of Germanic Confederation 	May 15, 1820	18200515	18200515		Bound: Germany 7.	O	N	30	4529926	6
fo 881/1639			MADAGASCAR: Rules, &amp;c. O. in C. of 1867 	Aug. 24, 1867	18670824	18670824			O	N	30	4530845	6
fo 881/1640			PACIFIC ISLANDS: Draft. O. in C. Fiji Islands 	1868	18680101	18681231		Bound: Pacific 13.	O	N	30	4531330	6
fo 881/1641			PACIFIC ISLANDS: Observations. Draft O. in C. Fiji Islands. (Mr. F. S. Reilly) 	Jan. 16, 1868	18680116	18680116		Bound: Pacific 13.	O	N	30	4531331	6
fo 881/1642			CHINA: Memo. Report of Mr. Stansfeld, Lord J. Hay, and Sir L. Mallet on Chinese Consulates. (Consul C. A. Winchester) 	Feb. 24, 1869	18690224	18690224		Bound: Mema.	O	N	30	4526369	6
fo 881/1643			CHINA: Observations. Treasury Memo. Estimates. (Mr. E. Hammond) 	Feb. 26, 1869	18690226	18690226		Bound: China 47.	O	N	30	4526370	6
fo 881/1644			CHINA: Observations. Report on China Consulates, submitted to the Chancellor of the Exchequer. (Mr. T. F. Wade) 	Mar. 10, 1869	18690310	18690310		Bound: China 47.	O	N	30	4526373	6
fo 881/1645			BELGIUM: Memo. Attempted Transfer to French Soci�t� de l'Est of Belgian Grand Luxembourg and Li�ge-Limburg Railways. (Mr. T. H. Sanderson). Bound: Mema. Missing at transfer 	Mar. 10, 1869	18690310	18690310		.	O	N	30	4525821	6
fo 881/1646			GREECE &amp; TURKEY: Corres. Conferences held at Paris for Settlement of Differences between Turkey and Greece 	1869	18690101	18691231		Bound: Turkey 24.	O	N	30	4530197	6
